,X30,X90,X180,X360,X720,X1080,X1800,X2520,X3600
4.05.2011,7.381,7.6529,7.9206,8.2506,8.687,8.9811,9.3496,9.5224,9.5844
5.05.2011,6.9982,7.5259,7.9373,8.2715,8.6741,8.9573,9.3241,9.5061,9.5878
6.05.2011,7.3988,7.581,7.8004,8.127,8.598,8.9231,9.3305,9.5224,9.597
9.05.2011,7.3611,7.5695,7.8033,8.1324,8.5793,8.8806,9.2697,9.4763,9.6031
10.05.2011,6.5318,7.1238,7.6507,8.223,8.7718,9.0323,9.3237,9.4957,9.6395
11.05.2011,7.0722,7.52,7.9278,8.3769,8.8646,9.1392,9.4702,9.648,9.7727
12.05.2011,7.209,7.5738,7.9329,8.3511,8.8004,9.0483,9.3626,9.5654,9.7697
13.05.2011,7.233,7.513,7.8521,8.3487,8.8751,9.1323,9.4261,9.6034,9.7754
16.05.2011,7.2855,7.7621,8.1661,8.5948,9.0163,9.2328,9.5066,9.6985,9.9204
17.05.2011,7.4879,7.7555,8.0777,8.53,9.0036,9.2344,9.4953,9.6538,9.8054
18.05.2011,7.5066,7.7899,8.1142,8.548,9.0056,9.2279,9.4622,9.5688,9.6153
20.05.2011,7.4574,7.7948,8.151,8.6236,9.0714,9.2531,9.4211,9.4998,9.5523
23.05.2011,7.5454,7.8647,8.2215,8.6888,9.1157,9.2749,9.4175,9.4936,9.5643
24.05.2011,7.4995,7.8998,8.2735,8.7097,9.1092,9.2704,9.4131,9.4702,9.4884
25.05.2011,7.5848,7.8438,8.1736,8.63,9.0589,9.225,9.3905,9.4949,9.612
26.05.2011,7.5017,7.8198,8.1738,8.6191,9.0352,9.2057,9.3803,9.4878,9.603
27.05.2011,7.3252,7.7462,8.1498,8.6553,9.1191,9.3064,9.4941,9.6066,9.7203
30.05.2011,7.534,7.9016,8.2687,8.7525,9.1558,9.2874,9.4412,9.6097,9.9003
31.05.2011,7.3321,7.7816,8.2145,8.7142,9.1359,9.29,9.4705,9.6384,9.8949
1.06.2011,7.4734,7.8613,8.2147,8.6631,9.1025,9.3066,9.5329,9.6615,9.7675
2.06.2011,7.5234,7.8141,8.1217,8.5428,8.995,9.2351,9.4948,9.6,9.6151
3.06.2011,7.2571,7.7671,8.1818,8.6571,9.1056,9.3105,9.5272,9.6403,9.7174
6.06.2011,7.4977,7.8934,8.2639,8.728,9.1661,9.3579,9.5555,9.6591,9.7355
7.06.2011,7.5132,7.959,8.3274,8.7566,9.1707,9.3697,9.5881,9.7068,9.7942
8.06.2011,7.5563,7.9403,8.284,8.7055,9.1091,9.2984,9.5359,9.713,9.9299
9.06.2011,7.5766,7.96,8.3039,8.7226,9.1256,9.3207,9.5406,9.6636,9.7597
10.06.2011,7.4359,7.8537,8.2125,8.6464,9.0564,9.242,9.4462,9.5676,9.679
13.06.2011,7.7061,7.9487,8.2428,8.6644,9.0786,9.2594,9.4249,9.4772,9.4563
14.06.2011,7.5551,7.909,8.2453,8.6769,9.0885,9.2707,9.4471,9.5213,9.5445
15.06.2011,7.4317,7.8308,8.2312,8.7502,9.2109,9.3791,9.5118,9.5494,9.5267
16.06.2011,7.552,7.9464,8.3596,8.8729,9.3047,9.4594,9.5865,9.6403,9.6674
17.06.2011,7.5826,7.9036,8.2415,8.6937,9.1615,9.3921,9.6212,9.6991,9.6904
20.06.2011,7.8334,8.0452,8.3498,8.814,9.2465,9.4139,9.5588,9.6165,9.6402
21.06.2011,7.3988,7.894,8.3237,8.7985,9.2097,9.3739,9.5114,9.552,9.5363
22.06.2011,7.6732,8.0231,8.4095,8.9112,9.3158,9.4329,9.513,9.5574,9.6135
23.06.2011,7.6786,8.053,8.4423,8.9277,9.3366,9.4833,9.5946,9.6257,9.6166
24.06.2011,7.7425,8.0981,8.4293,8.8342,9.2253,9.4072,9.5865,9.6558,9.6713
27.06.2011,8.1497,8.1951,8.4392,8.9095,9.3506,9.5084,9.6322,9.6753,9.6836
28.06.2011,7.6284,8.0429,8.4551,8.9619,9.3779,9.5151,9.6137,9.6491,9.6581
29.06.2011,7.7569,8.136,8.4961,8.9301,9.305,9.4491,9.5889,9.6685,9.7455
30.06.2011,7.7334,8.1189,8.4988,8.9679,9.3569,9.492,9.6166,9.7009,9.8052
1.07.2011,7.7197,8.0467,8.3821,8.8227,9.2524,9.4529,9.6603,9.7558,9.8055
4.07.2011,8.0474,8.2551,8.5004,8.8445,9.2182,9.4166,9.6322,9.7213,9.7428
5.07.2011,7.6668,7.9968,8.3339,8.7598,9.1756,9.3752,9.5924,9.7068,9.788
6.07.2011,7.8299,8.0675,8.367,8.7844,9.2089,9.4145,9.6423,9.7606,9.8435
7.07.2011,7.7933,8.0674,8.3832,8.7944,9.2077,9.4129,9.6467,9.7753,9.8755
8.07.2011,7.6679,7.8973,8.195,8.6453,9.1447,9.4127,9.6947,9.7936,9.7795
11.07.2011,8.1196,8.1729,8.38,8.7665,9.2203,9.4695,9.7405,9.8461,9.8607
12.07.2011,7.7227,8.0041,8.3515,8.8326,9.2957,9.5049,9.7186,9.8225,9.8873
13.07.2011,7.726,7.9994,8.3478,8.8323,9.3106,9.5285,9.7411,9.817,9.8126
14.07.2011,7.658,7.9531,8.2648,8.6656,9.1036,9.3457,9.6133,9.7215,9.7419
15.07.2011,7.0827,7.7091,8.2119,8.6357,9.0123,9.2273,9.4928,9.6437,9.771
18.07.2011,7.7337,7.9565,8.2515,8.6747,9.0716,9.2482,9.4615,9.6214,9.8287
19.07.2011,7.5304,7.829,8.1651,8.5942,9.0287,9.2572,9.527,9.6846,9.8294
20.07.2011,7.5685,7.8652,8.183,8.5639,8.9837,9.2191,9.513,9.6893,9.8437
21.07.2011,7.5846,7.8882,8.1739,8.4691,8.8495,9.1272,9.5112,9.7382,9.9188
22.07.2011,7.559,7.8226,8.1039,8.4816,8.9219,9.1854,9.5384,9.7773,10.0258
25.07.2011,8.1103,8.2463,8.4409,8.7557,9.1432,9.3764,9.7031,9.9441,10.2217
26.07.2011,8.2684,8.3089,8.4808,8.8555,9.2592,9.4388,9.696,9.9591,10.3703
27.07.2011,8.4666,8.373,8.4526,8.7896,9.1951,9.3754,9.5978,9.7765,10.0103
28.07.2011,8.2333,8.2606,8.3914,8.6842,9.0612,9.2794,9.5689,9.767,9.9752
29.07.2011,8.4167,8.2536,8.2943,8.6122,9.0568,9.2984,9.5883,9.7615,9.9171
1.08.2011,8.5556,8.3506,8.3394,8.6003,8.9985,9.2271,9.5091,9.6756,9.8237
2.08.2011,7.4925,7.9082,8.2714,8.6302,8.9894,9.1893,9.4324,9.5736,9.6866
3.08.2011,7.5458,7.84,8.144,8.498,8.8597,9.0431,9.2618,9.3941,9.514
4.08.2011,7.6436,7.7347,7.9142,8.2455,8.6973,8.9768,9.285,9.3838,9.34
5.08.2011,7.1958,7.4057,7.6937,8.1814,8.7031,8.9566,9.2792,9.5289,9.852
8.08.2011,7.3736,7.4712,7.6477,7.9974,8.5174,8.8692,9.2799,9.4306,9.4212
9.08.2011,7.093,7.3607,7.6458,8.041,8.5491,8.8811,9.2985,9.5229,9.6857
10.08.2011,6.9041,7.1733,7.4737,7.8768,8.3889,8.7188,9.1531,9.4095,9.631
11.08.2011,6.7462,7.0992,7.4375,7.8199,8.2961,8.6223,9.0841,9.3947,9.7206
12.08.2011,6.7702,7.0635,7.3894,7.8556,8.42,8.7631,9.1963,9.4437,9.6424
