"DATE","TIME PERIOD","VALUES"
"1986-12-31","1986Dec","900.8200"
"1987-01-31","1987Jan","877.8641"
"1987-02-28","1987Feb","839.7895"
"1987-03-31","1987Mar","856.6245"
"1987-04-30","1987Apr","888.9836"
"1987-05-31","1987May","872.0867"
"1987-06-30","1987Jun","884.0691"
"1987-07-31","1987Jul","930.3596"
"1987-08-31","1987Aug","952.9005"
"1987-09-30","1987Sep","932.2723"
"1987-10-31","1987Oct","852.7268"
"1987-11-30","1987Nov","672.9633"
"1987-12-31","1987Dec","653.3696"
"1988-01-31","1988Jan","646.5657"
"1988-02-29","1988Feb","679.0167"
"1988-03-31","1988Mar","716.6961"
"1988-04-30","1988Apr","713.5448"
"1988-05-31","1988May","696.4391"
"1988-06-30","1988Jun","748.1391"
"1988-07-31","1988Jul","773.7886"
"1988-08-31","1988Aug","773.9157"
"1988-09-30","1988Sep","787.2532"
"1988-10-31","1988Oct","826.4876"
"1988-11-30","1988Nov","828.4482"
"1988-12-31","1988Dec","842.9536"
"1989-01-31","1989Jan","883.0745"
"1989-02-28","1989Feb","874.1225"
"1989-03-31","1989Mar","874.3404"
"1989-04-30","1989Apr","901.6255"
"1989-05-31","1989May","902.4474"
"1989-06-30","1989Jun","946.9964"
"1989-07-31","1989Jul","978.7657"
"1989-08-31","1989Aug","1021.5109"
"1989-09-30","1989Sep","1048.3148"
"1989-10-31","1989Oct","1008.3255"
"1989-11-30","1989Nov","982.9841"
"1989-12-31","1989Dec","1054.7957"
"1990-01-31","1990Jan","1085.3565"
"1990-02-28","1990Feb","1072.5385"
"1990-03-31","1990Mar","1092.6523"
"1990-04-30","1990Apr","1115.8881"
"1990-05-31","1990May","1110.4191"
"1990-06-30","1990Jun","1107.3310"
"1990-07-31","1990Jul","1120.0541"
"1990-08-31","1990Aug","992.5235"
"1990-09-30","1990Sep","913.0400"
"1990-10-31","1990Oct","892.4457"
"1990-11-30","1990Nov","874.4068"
"1990-12-31","1990Dec","887.4757"
"1991-01-31","1991Jan","850.4470"
"1991-02-28","1991Feb","925.1970"
"1991-03-31","1991Mar","973.7429"
"1991-04-30","1991Apr","1000.9218"
"1991-05-31","1991May","1018.5626"
"1991-06-30","1991Jun","1034.7290"
"1991-07-31","1991Jul","999.4483"
"1991-08-31","1991Aug","1001.5645"
"1991-09-30","1991Sep","1011.4910"
"1991-10-31","1991Oct","998.4839"
"1991-11-30","1991Nov","1000.2648"
"1991-12-31","1991Dec","976.9277"
"1992-01-31","1992Jan","1032.6209"
"1992-02-29","1992Feb","1060.3905"
"1992-03-31","1992Mar","1070.9582"
"1992-04-30","1992Apr","1071.5636"
"1992-05-31","1992May","1092.7148"
"1992-06-30","1992Jun","1076.7914"
"1992-07-31","1992Jul","1022.8009"
"1992-08-31","1992Aug","962.7657"
"1992-09-30","1992Sep","984.1318"
"1992-10-31","1992Oct","962.1082"
"1992-11-30","1992Nov","997.6490"
"1992-12-31","1992Dec","1010.0330"
"1993-01-31","1993Jan","1035.8000"
"1993-02-28","1993Feb","1097.5220"
"1993-03-31","1993Mar","1136.2539"
"1993-04-30","1993Apr","1127.5405"
"1993-05-31","1993May","1110.7486"
"1993-06-30","1993Jun","1135.9550"
"1993-07-31","1993Jul","1185.1791"
"1993-08-31","1993Aug","1276.8645"
"1993-09-30","1993Sep","1279.5791"
"1993-10-31","1993Oct","1333.0338"
"1993-11-30","1993Nov","1330.5764"
"1993-12-31","1993Dec","1393.6917"
"1994-01-31","1994Jan","1423.2105"
"1994-02-28","1994Feb","1424.0050"
"1994-03-31","1994Mar","1387.0704"
"1994-04-30","1994Apr","1409.0143"
"1994-05-31","1994May","1413.6964"
"1994-06-30","1994Jun","1324.9873"
"1994-07-31","1994Jul","1328.1029"
"1994-08-31","1994Aug","1374.3030"
"1994-09-30","1994Sep","1341.7732"
"1994-10-31","1994Oct","1300.9290"
"1994-11-30","1994Nov","1320.9995"
"1994-12-31","1994Dec","1319.0968"
"1995-01-31","1995Jan","1306.8732"
"1995-02-28","1995Feb","1328.8460"
"1995-03-31","1995Mar","1295.3839"
"1995-04-30","1995Apr","1324.1225"
"1995-05-31","1995May","1379.0235"
"1995-06-30","1995Jun","1383.5205"
"1995-07-31","1995Jul","1420.5676"
"1995-08-31","1995Aug","1448.5343"
"1995-09-30","1995Sep","1445.9095"
"1995-10-31","1995Oct","1403.8959"
"1995-11-30","1995Nov","1432.9409"
"1995-12-31","1995Dec","1486.3076"
"1996-01-31","1996Jan","1556.2139"
"1996-02-29","1996Feb","1587.5810"
"1996-03-31","1996Mar","1594.0129"
"1996-04-30","1996Apr","1645.4559"
"1996-05-31","1996May","1672.2713"
"1996-06-30","1996Jun","1667.2085"
"1996-07-31","1996Jul","1613.7122"
"1996-08-31","1996Aug","1620.2023"
"1996-09-30","1996Sep","1644.4595"
"1996-10-31","1996Oct","1714.0335"
"1996-11-30","1996Nov","1760.7957"
"1996-12-31","1996Dec","1816.1009"
"1997-01-31","1997Jan","1932.3561"
"1997-02-28","1997Feb","2070.8415"
"1997-03-31","1997Mar","2122.8533"
"1997-04-30","1997Apr","2096.5477"
"1997-05-31","1997May","2241.6314"
"1997-06-30","1997Jun","2350.2319"
"1997-07-31","1997Jul","2567.7387"
"1997-08-31","1997Aug","2564.7790"
"1997-09-30","1997Sep","2511.0314"
"1997-10-31","1997Oct","2510.6970"
"1997-11-30","1997Nov","2367.9425"
"1997-12-31","1997Dec","2474.4478"
"1998-01-31","1998Jan","2572.5223"
"1998-02-28","1998Feb","2762.1255"
"1998-03-31","1998Mar","3029.0236"
"1998-04-30","1998Apr","3239.1395"
"1998-05-31","1998May","3312.4486"
"1998-06-30","1998Jun","3355.5768"
"1998-07-31","1998Jul","3552.0309"
"1998-08-31","1998Aug","3257.7152"
"1998-09-30","1998Sep","2881.7959"
"1998-10-31","1998Oct","2701.0209"
"1998-11-30","1998Nov","3042.1757"
"1998-12-31","1998Dec","3171.0622"
"1999-01-31","1999Jan","3504.3614"
"1999-02-28","1999Feb","3450.8705"
"1999-03-31","1999Mar","3524.1935"
"1999-04-30","1999Apr","3671.7955"
"1999-05-31","1999May","3669.7305"
"1999-06-30","1999Jun","3749.4505"
"1999-07-31","1999Jul","3846.2359"
"1999-08-31","1999Aug","3691.3259"
"1999-09-30","1999Sep","3772.7923"
"1999-10-31","1999Oct","3742.6171"
"1999-11-30","1999Nov","4159.9731"
"1999-12-31","1999Dec","4590.1077"
"2000-01-31","2000Jan","4714.7035"
"2000-02-29","2000Feb","5089.7570"
"2000-03-31","2000Mar","5317.0805"
"2000-04-30","2000Apr","5149.1464"
"2000-05-31","2000May","5174.7296"
"2000-06-30","2000Jun","5275.0648"
"2000-07-31","2000Jul","5227.8216"
"2000-08-31","2000Aug","5151.9600"
"2000-09-30","2000Sep","5132.9133"
"2000-10-31","2000Oct","4893.2429"
"2000-11-30","2000Nov","4962.7177"
"2000-12-31","2000Dec","4787.1351"
"2001-01-31","2001Jan","4729.6529"
"2001-02-28","2001Feb","4525.8688"
"2001-03-31","2001Mar","4199.1586"
"2001-04-30","2001Apr","4307.6380"
"2001-05-31","2001May","4481.8667"
"2001-06-30","2001Jun","4289.6788"
"2001-07-31","2001Jul","4037.8259"
"2001-08-31","2001Aug","3884.6279"
"2001-09-30","2001Sep","3276.9981"
"2001-10-31","2001Oct","3440.9140"
"2001-11-30","2001Nov","3674.6297"
"2001-12-31","2001Dec","3711.0860"
"2002-01-31","2002Jan","3690.1301"
"2002-02-28","2002Feb","3537.6006"
"2002-03-31","2002Mar","3744.2451"
